iterations,train_losses,test_losses
0,4.80402421951294,4.80341911315918
100,2.4002678394317627,2.395881175994873
200,2.0530333518981934,2.046035051345825
300,1.8725152015686035,1.864519476890564
400,1.753926396369934,1.7526475191116333
500,1.6744972467422483,1.6664584875106812
600,1.602051854133606,1.6159884929656982
700,1.559086799621582,1.5741629600524902
800,1.520648956298828,1.527438759803772
900,1.4800164699554443,1.498525857925415
999,1.452710747718811,1.477259635925293
1000,1.4604412317276,1.4819754362106323
1100,1.429173231124878,1.455583930015564
1200,1.412051558494568,1.4376001358032229
1300,1.392885684967041,1.4263800382614136
1400,1.3772796392440796,1.4096177816390991
1500,1.3653792142868042,1.4039759635925293
1600,1.3490993976593018,1.3866488933563232
1700,1.3345288038253784,1.3790483474731443
1800,1.326058864593506,1.3696322441101074
1900,1.3237210512161257,1.3663725852966309
1999,1.3143458366394043,1.3571869134902954
2000,1.3138175010681152,1.363466739654541
2100,1.3007748126983643,1.352280616760254
2200,1.293615698814392,1.3421307802200317
2300,1.2857950925827026,1.3391618728637695
2400,1.2807949781417847,1.3273783922195435
2500,1.2708468437194824,1.324548363685608
2600,1.2619647979736328,1.3149141073226929
2700,1.25532865524292,1.3098598718643188
2800,1.246903657913208,1.312088131904602
2900,1.2471429109573364,1.3079266548156738
2999,1.2403578758239746,1.3099066019058228
